device,sample_path,category,format,source,manual_judgment,mode,original_size,analysis_size,downsampled,analysis_time_ms,sharpness,exposure,contrast,color_cast,overall_score,match_status,limitation_or_note,screenshot
emulator,samples/clear/clear_butterfly_01.jpg,clear,JPEG,Wikimedia external,人工判断：清晰花朵/蝴蝶样本，整体清晰但颜色偏暖,精细模式 2560,1920x1440,1920x1440,No,382,60,94,74,30,69,partial,App 给出可用但存在偏色风险，和人工判断基本一致,screenshots/模拟器/模拟器_最终_清晰_蝴蝶01_结果.png
emulator,samples/clear/clear_beetle_spider_02.jpg,clear,JPEG,Wikimedia external,人工判断：主体纹理清晰，适合作为清晰样本,精细模式 2560,1920x1920,1920x1920,No,246,76,96,64,70,79,match,App 高分符合人工判断,screenshots/模拟器/模拟器_最终_清晰_甲虫蜘蛛02_结果.png
emulator,samples/clear/clear_butterfly_03.jpg,clear,JPEG,Wikimedia external,人工判断：主体清晰，色彩偏暖但可接受,精细模式 2560,1920x1280,1920x1280,No,211,86,91,96,38,82,partial,App 高分但提示偏色风险，符合人工复核口径,screenshots/模拟器/模拟器_最终_清晰_蝴蝶03_结果.png
emulator,samples/blur/blur_out_of_focus_03.jpg,blur,JPEG,Wikimedia external,人工判断：明显失焦，主体细节不足,精细模式 2560,1920x1280,1920x1280,No,147,1,36,100,75,42,match,App 清晰度 1/100，正确识别模糊风险,screenshots/模拟器/模拟器_最终_模糊_失焦03_结果.png
emulator,samples/blur/blur_subway_motion_01.jpg,blur,JPEG,Wikimedia external,人工判断：运动模糊但有强边缘和高对比,精细模式 2560,1452x1927,1452x1927,No,154,91,77,100,100,90,mismatch,App 被局部边缘/高对比带高分，是运动模糊反直觉样本,screenshots/模拟器/模拟器_最终_模糊_地铁运动01_结果.png
emulator,samples/blur/blur_tanoura_motion_02.jpg,blur,JPEG,Wikimedia external,人工判断：夜间长曝光运动模糊，曝光风险明显,精细模式 2560,1920x1280,1920x1280,No,116,46,0,73,57,39,match,App 低分符合人工判断,screenshots/模拟器/模拟器_最终_模糊_旋舞运动02_结果.png
emulator,samples/overexposed/overexposed_photo_01.jpg,overexposed,JPEG,Wikimedia external,人工判断：高亮区域偏多，存在过曝风险,精细模式 2560,1920x1640,1920x1640,No,199,28,36,79,91,50,match,App 识别过曝和清晰度风险,screenshots/模拟器/模拟器_最终_过曝_村庄照片01_结果.png
emulator,samples/overexposed/overexposed_sky_02.jpg,overexposed,JPEG,Wikimedia external,人工判断：天空局部过曝，但主体仍可辨认,精细模式 2560,1920x1285,1920x1285,No,153,95,42,100,95,80,partial,选定为最终反例：App 诊断到过曝风险但综合分仍偏高，说明局部高光裁剪被清晰度和对比度高分稀释,screenshots/模拟器/模拟器_最终_过曝_火车天空02_结果.png
emulator,samples/overexposed/overexposed_space_washed_03.jpg,overexposed,JPEG,Wikimedia external,人工判断：明显偏亮/冲洗感，曝光质量差,精细模式 2560,1920x1208,1920x1208,No,139,44,0,68,94,43,match,App 低曝光分符合人工判断,screenshots/模拟器/模拟器_最终_过曝_冲洗胶片03_结果.png
emulator,samples/underexposed/underexposed_sun_01.jpg,underexposed,JPEG,Wikimedia external,人工判断：暗部占比高，整体欠曝,精细模式 2560,1920x1280,1920x1280,No,173,11,0,59,98,30,match,App 低分符合欠曝样本,screenshots/模拟器/模拟器_最终_欠曝_云中太阳01_结果.png
emulator,samples/underexposed/underexposed_space_02.jpg,underexposed,JPEG,Wikimedia external,人工判断：暗绿低对比场景，细节可见但整体偏暗,精细模式 2560,1920x2003,1920x2003,No,239,12,81,6,72,41,partial,App 主要抓到低清晰度和低对比，曝光项未完全反映人工观感,screenshots/模拟器/模拟器_最终_欠曝_暗绿空间02_结果.png
emulator,samples/underexposed/underexposed_pollen_03.jpg,underexposed,JPEG,Wikimedia external,人工判断：暗背景花粉样本，欠曝明显,精细模式 2560,1920x1280,1920x1280,No,145,27,0,60,84,34,match,App 低曝光分符合人工判断,screenshots/模拟器/模拟器_最终_欠曝_花粉03_结果.png
emulator,samples/noisy/noisy_hong_kong_night_01.jpg,noisy,JPEG,Wikimedia external,人工判断：夜景噪点明显，但建筑边缘较强,精细模式 2560,1920x1258,1920x1258,No,124,93,10,100,76,67,partial,选定为最终反例：夜景噪点明显但清晰度 93、对比度 100，说明噪点和强边缘会抬高低层指标,screenshots/模拟器/模拟器_最终_噪点_香港夜景01_结果.png
emulator,samples/noisy/noisy_nind_stefantiek_02.jpg,noisy,JPEG,NIND external,人工判断：高 ISO 噪点样本，局部细节仍较多,精细模式 2560,1618x3050,1358x2560,Yes,207,69,79,83,90,78,partial,App 总分偏高，说明噪点未被单独强惩罚,screenshots/模拟器/模拟器_最终_噪点_街边雕像02_结果.png
emulator,samples/noisy/noisy_nind_keyboard_03.jpg,noisy,JPEG,NIND external,人工判断：高 ISO 键盘噪点样本，仍有大量硬边缘,精细模式 2560,1920x1272,1920x1272,No,139,96,71,89,98,87,mismatch,App 被边缘与对比带高分，是噪点反例候选,screenshots/模拟器/模拟器_最终_噪点_键盘03_结果.png
emulator,samples/formats/format_clear_jpeg_01.jpg,formats,JPEG,Derived from Wikimedia clear sample,人工判断：JPEG 格式兼容样本，内容与清晰蝴蝶样本一致,精细模式 2560,1920x1440,1920x1440,No,382,60,94,74,30,69,match,JPEG 可选取、预览、分析；截图复用同源清晰样本结果,screenshots/模拟器/模拟器_最终_格式_JPEG_蝴蝶01_结果.png
emulator,samples/formats/format_clear_png_01.png,formats,PNG,Derived from Wikimedia clear sample,人工判断：PNG 格式兼容样本，内容与清晰蝴蝶样本一致,精细模式 2560,1920x1440,1920x1440,No,185,60,94,74,30,69,match,PNG 可选取、预览、分析,screenshots/模拟器/模拟器_最终_格式_PNG_蝴蝶01_结果.png
